index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,attendance_rate_missing
16,2,No,Clubs,Auditory,W087TC,Female,No,42.0,5.0,19.0,15.0,13.0,96.0,21:30,5:30,public transport,green,0
17,1,No,,Auditory,FALLVI,Female,Yes,70.0,26.0,2.0,15.0,10.0,100.0,22:30,6:30,private transport,black,0
18,1,No,Clubs,Auditory,H014YN,Male,Yes,56.0,11.0,13.0,15.0,5.0,93.0,23:00,7:00,walk,yellow,0
19,1,No,Arts,Visual,ZQ3KFP,Male,Yes,79.0,25.0,0.0,15.0,8.0,96.0,22:00,6:00,private transport,red,0
20,1,No,Arts,Visual,QTPHGL,Female,Yes,59.0,1.0,27.0,15.0,9.0,92.0,23:30,6:30,private transport,red,0
21,0,No,,Visual,HJ6Y5P,Male,Yes,86.0,17.0,6.0,16.0,8.0,91.0,23:30,6:30,private transport,red,0
22,0,Yes,Clubs,Visual,U9YNGY,Female,No,69.0,17.0,2.0,15.0,12.0,95.0,23:00,7:00,walk,yellow,0
23,0,No,Clubs,Auditory,586QHN,Male,Yes,95.0,12.0,13.0,15.0,9.0,97.0,22:00,6:00,private transport,white,0
24,0,No,Arts,Visual,PQ059G,Male,No,77.0,23.0,4.0,15.0,6.0,93.0,21:00,5:00,public transport,red,0
25,1,No,Clubs,Auditory,MQQL0R,Female,No,54.0,20.0,5.0,15.0,18.0,95.0,23:00,7:00,walk,yellow,0
26,2,Yes,Arts,Visual,7QPRBM,Female,No,74.0,6.0,9.0,15.0,11.0,96.0,21:30,5:30,public transport,blue,0
27,2,No,Clubs,Auditory,GSTYQJ,Female,No,39.0,15.0,9.0,16.0,12.0,81.0,22:00,5:00,public transport,white,0
28,1,No,Arts,Visual,OF3DU8,Male,Yes,70.0,10.0,14.0,16.0,17.0,95.0,21:00,5:00,public transport,yellow,0
29,1,Yes,,Auditory,ZGU81D,Male,Yes,88.0,17.0,0.0,15.0,6.0,94.0,21:00,5:00,public transport,black,0
30,2,No,Sports,Visual,7882P8,Male,Yes,,20.0,2.0,6.0,14.0,91.0,21:00,5:00,public transport,green,0
31,2,No,,Visual,JK9O0T,Female,Yes,69.0,3.0,16.0,15.0,14.0,92.0,21:30,5:30,public transport,black,0
32,1,No,Clubs,Visual,J5LN4C,Female,No,78.0,18.0,7.0,16.0,8.0,98.0,22:30,6:30,private transport,green,0
33,1,No,Arts,Visual,6OAS7F,Male,Yes,60.0,16.0,12.0,16.0,9.0,91.0,21:30,5:30,public transport,yellow,0
34,0,Yes,Sports,Visual,9KCAKQ,Male,No,78.0,11.0,9.0,15.0,5.0,97.0,21:30,5:30,public transport,white,0
35,1,No,Clubs,Visual,9C81UP,Male,No,66.0,15.0,7.0,16.0,7.0,96.0,21:30,5:30,public transport,green,0
36,2,No,Arts,Auditory,GJITFO,Female,Yes,58.0,17.0,1.0,15.0,9.0,92.0,22:00,6:00,private transport,white,0
37,2,No,Sports,Visual,3LU16S,Female,No,45.0,16.0,8.0,15.0,5.0,87.0,21:00,5:00,public transport,black,0
38,1,No,Arts,Auditory,PSU5GT,Male,No,53.0,21.0,9.0,16.0,10.0,97.0,21:00,5:00,public transport,green,0
39,2,No,Arts,Auditory,OR5ZSX,Male,No,42.0,10.0,12.0,15.0,11.0,55.0,1:00,6:00,private transport,green,0
40,1,No,Arts,Visual,2HD89P,Male,Yes,71.0,10.0,15.0,15.0,15.0,91.0,22:30,5:30,public transport,yellow,0
41,1,Yes,,Visual,ALOPZS,Female,Yes,92.0,2.0,19.0,15.0,10.0,95.0,22:30,6:30,private transport,black,0
42,1,No,,Auditory,1GNS79,Male,Yes,62.0,11.0,17.0,16.0,5.0,97.0,21:00,5:00,public transport,red,0
43,0,No,Arts,Auditory,QBSKYM,Female,Yes,75.0,16.0,7.0,15.0,8.0,97.0,21:00,5:00,public transport,yellow,0
44,0,No,Clubs,Visual,EIEGC8,Female,Yes,81.0,8.0,19.0,15.0,10.0,98.0,22:30,6:30,private transport,blue,0
45,1,Yes,Arts,Visual,PRPPV8,Female,Yes,49.0,30.0,0.0,16.0,1.0,64.0,0:30,6:30,private transport,white,0
46,0,Yes,,Visual,RAJ8CB,Male,No,82.0,12.0,5.0,15.0,5.0,93.0,21:30,5:30,public transport,green,0
47,2,No,Sports,Auditory,M7KDZO,Female,Yes,79.0,6.0,15.0,16.0,9.0,99.0,21:30,5:30,public transport,white,0
48,0,Yes,Sports,Visual,GA61X8,Male,No,77.0,11.0,7.0,15.0,9.0,96.0,22:00,6:00,private transport,green,0
49,1,No,Arts,Visual,Q6DZRI,Male,No,45.0,23.0,7.0,15.0,14.0,94.0,22:30,6:30,private transport,white,0
50,1,No,Arts,Auditory,5F320K,Female,No,48.0,14.0,10.0,15.0,8.0,74.0,22:00,5:00,public transport,red,0
51,1,Yes,Clubs,Visual,6RUZRP,Male,Yes,,14.0,7.0,15.0,9.0,90.0,23:00,7:00,walk,white,0
52,2,No,Sports,Auditory,6ENKHB,Male,Yes,58.0,16.0,4.0,16.0,19.0,91.0,21:00,5:00,public transport,black,0
53,0,No,Arts,Auditory,1CVO8I,Female,Yes,63.0,12.0,15.0,16.0,8.0,98.0,22:30,6:30,private transport,red,0
54,2,Yes,Arts,Visual,QLG7M4,Female,No,78.0,6.0,8.0,15.0,7.0,98.0,21:00,5:00,public transport,yellow,0
55,2,No,,Visual,DC520G,Female,No,69.0,15.0,7.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,0
56,2,No,Sports,Auditory,1SU69Y,Female,Yes,54.0,10.0,8.0,16.0,16.0,95.0,21:00,5:00,public transport,red,0
57,1,Yes,,Visual,OPWOR2,Female,Yes,95.0,1.0,20.0,15.0,9.0,92.0,22:00,6:00,private transport,green,0
58,1,No,Clubs,Visual,GF3FCX,Male,No,51.0,19.0,11.0,15.0,18.0,95.0,22:30,6:30,private transport,black,1
59,2,No,Sports,Auditory,OL7HET,Female,Yes,60.0,8.0,12.0,15.0,16.0,94.0,23:00,7:00,walk,green,0
60,2,No,Arts,Auditory,1B3QSS,Female,Yes,40.0,3.0,19.0,5.0,5.0,98.0,22:00,6:00,private transport,blue,0
61,1,No,Sports,Auditory,D8YD78,Female,Yes,57.0,24.0,6.0,6.0,11.0,95.0,21:30,5:30,public transport,white,0
62,0,Yes,,Auditory,68GQ7S,Male,Yes,85.0,12.0,9.0,16.0,8.0,95.0,23:00,7:00,walk,red,1
63,1,Yes,,Auditory,JMO689,Female,Yes,65.0,17.0,2.0,15.0,16.0,99.0,21:30,5:30,public transport,red,0
64,1,Yes,Sports,Auditory,HLUIH1,Female,Yes,55.0,13.0,12.0,16.0,8.0,91.0,22:00,6:00,private transport,white,0
65,1,Yes,,Visual,SI2A4J,Female,Yes,92.0,21.0,0.0,15.0,9.0,91.0,22:00,6:00,private transport,yellow,0
66,1,No,Clubs,Auditory,25EIBZ,Male,No,50.0,15.0,15.0,16.0,5.0,92.0,23:00,7:00,walk,blue,0
67,0,No,Sports,Auditory,7XH8AD,Female,Yes,55.0,8.0,14.0,16.0,7.0,96.0,21:30,5:30,public transport,yellow,0
68,0,No,,Auditory,92X86W,Male,Yes,94.0,10.0,15.0,16.0,7.0,92.0,21:00,5:00,public transport,red,0
69,1,No,Sports,Auditory,3T7YQD,Female,Yes,60.0,3.0,21.0,15.0,17.0,91.0,21:00,5:00,public transport,black,0
70,1,Yes,Clubs,Auditory,QI04T7,Female,No,56.0,15.0,10.0,16.0,7.0,91.0,21:00,5:00,public transport,yellow,0
71,1,Yes,,Auditory,903WGD,Male,No,76.0,11.0,6.0,16.0,3.0,93.0,22:30,6:30,private transport,black,0
72,0,Yes,,Auditory,OB3KOP,Male,No,79.0,13.0,7.0,15.0,6.0,91.0,22:00,6:00,private transport,black,0
73,1,No,Clubs,Visual,V8PSZ4,Male,No,53.0,30.0,0.0,16.0,7.0,96.0,21:00,5:00,public transport,green,0
74,1,No,Clubs,Auditory,RARLB8,Male,Yes,48.0,10.0,20.0,15.0,6.0,97.0,22:00,6:00,private transport,red,0
75,2,Yes,Sports,Visual,3PKA6K,Male,No,72.0,11.0,9.0,15.0,8.0,90.0,22:00,6:00,private transport,black,0
76,0,Yes,Sports,Visual,9AO05A,Female,No,49.0,12.0,8.0,16.0,14.0,55.0,1:30,6:30,private transport,blue,0
77,1,No,Arts,Auditory,7XMIUL,Male,Yes,58.0,14.0,8.0,15.0,15.0,98.0,22:30,6:30,private transport,black,0
78,2,No,Arts,Auditory,XFTK88,Female,Yes,76.0,20.0,1.0,15.0,8.0,92.0,22:00,6:00,private transport,white,0
79,2,Yes,,Visual,E4467Q,Male,No,83.0,16.0,2.0,15.0,8.0,95.0,21:00,5:00,public transport,red,0
80,0,No,Clubs,Visual,XY6R2B,Female,Yes,53.0,4.0,16.0,16.0,14.0,97.0,22:00,6:00,private transport,yellow,0
81,0,No,Clubs,Auditory,ANUEDH,Male,No,57.0,24.0,3.0,5.0,6.0,96.0,22:00,6:00,private transport,white,0
82,0,Yes,,Visual,7EPPQG,Female,Yes,70.0,1.0,15.0,5.0,10.0,96.0,22:30,6:30,private transport,red,0
83,1,No,Arts,Auditory,EAZDA8,Female,Yes,52.0,21.0,3.0,6.0,8.0,95.0,22:00,6:00,private transport,blue,0
84,1,No,Arts,Visual,GGSU2X,Female,No,50.0,16.0,14.0,16.0,18.0,95.0,21:30,5:30,public transport,blue,0
85,0,No,Arts,Auditory,B6U6DY,Female,Yes,94.0,18.0,3.0,16.0,8.0,95.0,23:00,7:00,walk,yellow,1
86,1,No,Sports,Auditory,W3QNOA,Female,No,48.0,7.0,18.0,15.0,14.0,92.0,23:00,7:00,walk,yellow,0
87,0,Yes,,Visual,MB9F8E,Male,No,82.0,15.0,2.0,15.0,9.0,93.0,23:00,7:00,walk,blue,0
88,1,Yes,Sports,Visual,Z8SK8Q,Female,Yes,67.0,8.0,13.0,15.0,7.0,95.0,22:30,6:30,private transport,blue,1
89,0,No,Clubs,Auditory,JHI88P,Female,Yes,66.0,16.0,11.0,16.0,17.0,92.0,21:00,5:00,public transport,red,0
90,0,No,,Visual,BNX7P2,Female,Yes,89.0,16.0,7.0,15.0,7.0,95.0,21:30,5:30,public transport,yellow,1
91,2,No,Arts,Auditory,EK2Z2C,Male,Yes,71.0,19.0,0.0,16.0,8.0,92.0,22:00,6:00,private transport,green,0
92,2,No,,Visual,KIKA1F,Male,Yes,60.0,22.0,0.0,15.0,15.0,91.0,23:00,7:00,walk,white,0
93,1,Yes,,Visual,QCJ1S2,Female,Yes,93.0,3.0,18.0,16.0,5.0,96.0,21:30,5:30,public transport,blue,0
94,0,No,,Auditory,WQCJ0U,Male,Yes,87.0,19.0,3.0,16.0,7.0,96.0,21:30,5:30,public transport,green,0
95,0,No,,Auditory,0ZM2DQ,Female,No,88.0,7.0,15.0,16.0,7.0,97.0,23:00,7:00,walk,green,0
96,1,No,Sports,Auditory,80MAOJ,Male,Yes,63.0,18.0,4.0,15.0,13.0,100.0,23:00,7:00,walk,red,0
97,0,No,,Visual,7QEG4X,Male,No,79.0,13.0,14.0,16.0,5.0,94.0,22:00,6:00,private transport,green,0
98,1,No,Clubs,Auditory,ZP7S5I,Male,Yes,56.0,12.0,15.0,16.0,8.0,99.0,22:30,6:30,private transport,white,0
99,0,No,,Visual,YGJQCK,Male,Yes,94.0,20.0,3.0,15.0,9.0,95.0,22:00,6:00,private transport,blue,0
100,1,No,Clubs,Auditory,QM7MY8,Female,No,47.0,20.0,5.0,15.0,9.0,61.0,2:30,6:30,private transport,yellow,0
101,1,No,Sports,Auditory,0QUOS2,Female,No,54.0,3.0,27.0,15.0,15.0,93.0,21:30,5:30,public transport,white,0
102,1,No,Clubs,Auditory,AW0QXU,Female,Yes,64.0,7.0,21.0,16.0,6.0,99.0,22:00,6:00,private transport,black,0
103,2,No,Clubs,Auditory,KZ8V82,Female,Yes,51.0,15.0,3.0,15.0,6.0,95.0,23:00,7:00,walk,white,0
104,1,No,Arts,Auditory,43SC3X,Female,No,55.0,14.0,15.0,16.0,7.0,93.0,23:00,7:00,walk,red,0
105,1,No,Clubs,Auditory,PFK1PZ,Male,Yes,74.0,18.0,10.0,15.0,9.0,96.0,21:00,5:00,public transport,yellow,0
106,2,No,Sports,Auditory,X1PLLZ,Female,Yes,46.0,10.0,14.0,15.0,9.0,81.0,22:30,5:30,public transport,white,0
107,1,No,Sports,Visual,2ZMPZA,Male,Yes,53.0,30.0,0.0,15.0,10.0,91.0,22:30,6:30,private transport,blue,0
108,0,No,,Visual,GK3BXZ,Male,No,65.0,22.0,5.0,15.0,19.0,99.0,21:00,5:00,public transport,black,0
109,2,No,Clubs,Auditory,XZY6BR,Female,No,52.0,15.0,4.0,16.0,15.0,95.0,23:00,7:00,walk,blue,0
110,1,No,Sports,Visual,GFRBAF,Female,No,46.0,21.0,9.0,15.0,11.0,77.0,22:00,5:00,public transport,yellow,0
111,0,Yes,Sports,Visual,6XKV9Q,Female,No,83.0,14.0,2.0,16.0,7.0,95.0,21:00,5:00,public transport,yellow,0
112,2,No,Sports,Auditory,U9XHGZ,Female,No,46.0,7.0,16.0,15.0,4.0,52.0,0:00,5:00,public transport,black,0
113,1,No,Clubs,Auditory,BC79L5,Female,Yes,52.0,22.0,7.0,15.0,17.0,93.0,23:00,7:00,walk,white,0
114,0,Yes,Clubs,Auditory,2QYBOU,Female,No,72.0,17.0,2.0,6.0,10.0,97.0,21:30,5:30,public transport,black,0
115,1,No,Arts,Auditory,GKO7VX,Male,Yes,66.0,18.0,10.0,15.0,14.0,97.0,21:00,5:00,public transport,green,0
116,0,No,Sports,Auditory,ES1RUS,Female,No,69.0,3.0,18.0,15.0,18.0,99.0,21:00,5:00,public transport,yellow,0
117,1,Yes,,Auditory,IM44PM,Male,Yes,78.0,18.0,3.0,16.0,9.0,95.0,22:00,6:00,private transport,green,0
118,0,No,,Visual,UD6QES,Male,Yes,84.0,14.0,9.0,15.0,9.0,98.0,22:30,6:30,private transport,black,0
119,1,No,Arts,Auditory,3AVEIW,Female,No,63.0,0.0,27.0,15.0,18.0,93.0,22:30,6:30,private transport,white,0
120,0,No,Sports,Visual,WCO3PY,Female,No,73.0,5.0,23.0,16.0,18.0,99.0,21:00,5:00,public transport,blue,0
121,0,Yes,,Visual,DGJLSD,Male,Yes,85.0,15.0,1.0,16.0,9.0,96.0,22:00,6:00,private transport,yellow,0
122,1,No,Arts,Auditory,ED45O1,Female,Yes,71.0,21.0,1.0,16.0,9.0,97.0,22:30,6:30,private transport,green,0
123,1,No,Sports,Visual,SCL5U1,Female,Yes,46.0,1.0,29.0,15.0,13.0,90.0,22:00,6:00,private transport,red,0
124,2,No,Sports,Auditory,7N3MXK,Female,Yes,62.0,10.0,12.0,16.0,9.0,92.0,22:30,6:30,private transport,green,0
125,2,No,Sports,Auditory,5Z0IOP,Female,Yes,76.0,11.0,10.0,16.0,10.0,94.0,23:00,7:00,walk,black,0
126,1,No,Sports,Visual,9BZOHI,Male,Yes,65.0,12.0,16.0,16.0,19.0,94.0,22:30,6:30,private transport,green,0
127,1,Yes,,Visual,AUPAC8,Male,Yes,91.0,14.0,7.0,16.0,9.0,91.0,0:00,7:00,walk,yellow,0
128,1,No,Sports,Auditory,8PXI3E,Male,No,38.0,19.0,9.0,16.0,3.0,51.0,1:00,6:00,private transport,yellow,0
129,0,No,Sports,Visual,6F1PTH,Male,Yes,96.0,12.0,11.0,15.0,8.0,98.0,22:00,6:00,private transport,yellow,0
130,0,No,Clubs,Auditory,BSZMBK,Male,Yes,93.0,21.0,4.0,16.0,6.0,91.0,21:30,5:30,public transport,red,0
131,2,No,Sports,Auditory,FI521J,Female,Yes,55.0,1.0,17.0,16.0,12.0,92.0,21:30,5:30,public transport,green,0
132,1,No,Sports,Auditory,190KM7,Male,Yes,58.0,19.0,3.0,16.0,17.0,94.0,22:00,6:00,private transport,white,0
133,1,No,Sports,Auditory,2OS39W,Female,Yes,64.0,16.0,11.0,15.0,10.0,92.0,21:30,5:30,public transport,green,0
134,0,No,Sports,Auditory,0MKJET,Female,No,65.0,11.0,10.0,15.0,14.0,95.0,22:30,6:30,private transport,black,0
135,0,No,Clubs,Visual,XACBU2,Male,Yes,89.0,14.0,8.0,15.0,7.0,99.0,21:30,5:30,public transport,yellow,0
136,0,No,Clubs,Visual,QB177D,Female,No,55.0,9.0,13.0,16.0,13.0,98.0,22:00,6:00,private transport,green,0
137,1,No,Sports,Visual,WHO5I7,Female,No,58.0,8.0,23.0,16.0,9.0,97.0,21:00,5:00,public transport,red,0
138,1,No,Arts,Auditory,90IB5O,Female,No,53.0,13.0,12.0,16.0,18.0,95.0,22:30,6:30,private transport,white,0
139,1,No,Clubs,Visual,MP9662,Female,No,47.0,19.0,11.0,16.0,10.0,91.0,21:00,5:00,public transport,white,0
140,2,No,,Visual,TDLKDV,Female,Yes,72.0,6.0,13.0,5.0,10.0,99.0,22:00,6:00,private transport,yellow,0
141,0,No,,Auditory,MP1M7A,Female,No,68.0,19.0,8.0,15.0,19.0,95.0,22:30,6:30,private transport,black,0
142,1,No,,Auditory,2RE5VB,Female,Yes,61.0,22.0,6.0,5.0,7.0,91.0,22:30,6:30,private transport,yellow,0
143,1,Yes,Sports,Auditory,WIHG37,Female,Yes,72.0,9.0,11.0,15.0,11.0,94.0,22:30,6:30,private transport,white,0
144,1,No,Clubs,Visual,JIQ8UK,Male,No,51.0,23.0,7.0,15.0,7.0,100.0,22:30,6:30,private transport,green,0
145,2,No,Arts,Visual,FR8U8M,Female,No,41.0,3.0,19.0,6.0,8.0,96.0,22:00,6:00,private transport,yellow,0
146,0,No,Sports,Auditory,AW6ZDW,Female,No,53.0,1.0,20.0,16.0,18.0,97.0,22:00,6:00,private transport,black,0
147,1,No,Clubs,Visual,BASY1M,Male,No,53.0,15.0,11.0,15.0,18.0,100.0,22:00,6:00,private transport,red,0
148,0,No,Clubs,Visual,9DC1Y5,Female,No,76.0,0.0,27.0,15.0,8.0,96.0,21:30,5:30,public transport,yellow,0
149,2,No,Sports,Auditory,894SIA,Male,No,59.0,18.0,2.0,15.0,16.0,94.0,22:30,6:30,private transport,yellow,0
150,1,No,Clubs,Visual,QJODVK,Female,Yes,59.0,25.0,3.0,15.0,15.0,94.0,22:30,6:30,private transport,black,0
151,1,Yes,Sports,Visual,Y1CFA8,Female,No,49.0,27.0,3.0,16.0,4.0,55.0,0:30,5:30,public transport,red,0
152,1,Yes,Sports,Auditory,4YZZ66,Male,No,49.0,12.0,12.0,16.0,7.0,93.0,23:00,7:00,walk,blue,0
153,2,No,Arts,Auditory,H1XKZZ,Male,Yes,56.0,20.0,0.0,16.0,11.0,93.0,21:30,5:30,public transport,green,0
154,0,No,,Auditory,4VZ0W4,Female,Yes,72.0,0.0,23.0,6.0,12.0,94.0,21:00,5:00,public transport,yellow,0
155,1,Yes,,Visual,QUV2FC,Female,No,91.0,9.0,12.0,16.0,5.0,97.0,21:30,5:30,public transport,green,0
156,1,No,Clubs,Auditory,LDFJ01,Male,No,61.0,17.0,11.0,15.0,8.0,100.0,21:00,5:00,public transport,black,0
157,2,Yes,Arts,Visual,T4NOZ5,Male,No,54.0,11.0,5.0,15.0,5.0,99.0,21:30,5:30,public transport,yellow,0
158,0,No,Clubs,Visual,2RH032,Male,No,72.0,13.0,15.0,16.0,10.0,95.0,21:30,5:30,public transport,red,0
159,1,Yes,Clubs,Auditory,0Y30H6,Female,Yes,75.0,7.0,10.0,16.0,6.0,92.0,22:30,6:30,private transport,yellow,0
160,1,Yes,,Visual,CGRXK9,Female,No,61.0,21.0,6.0,16.0,7.0,96.0,22:30,6:30,private transport,red,0
161,0,No,Arts,Auditory,F9Q4TS,Male,Yes,77.0,12.0,9.0,16.0,6.0,93.0,22:00,6:00,private transport,black,0
162,1,Yes,Arts,Auditory,1IMC07,Female,No,49.0,19.0,6.0,15.0,10.0,91.0,22:00,6:00,private transport,yellow,0
163,2,No,Sports,Auditory,GWX4PV,Female,No,41.0,15.0,7.0,15.0,1.0,98.0,21:00,5:00,public transport,yellow,0
164,2,No,Arts,Auditory,9B2MSU,Female,Yes,49.0,15.0,9.0,15.0,6.0,56.0,1:30,5:30,public transport,white,0
165,2,No,Clubs,Visual,OLRR8C,Female,No,72.0,10.0,13.0,15.0,7.0,96.0,22:00,6:00,private transport,yellow,0
166,1,No,Clubs,Auditory,4TTFFE,Female,Yes,58.0,4.0,20.0,15.0,16.0,100.0,22:00,6:00,private transport,white,0
167,0,No,Sports,Auditory,34JBW3,Female,No,77.0,5.0,17.0,15.0,6.0,90.0,21:00,5:00,public transport,green,0
168,2,No,Sports,Visual,0B0KHP,Male,No,70.0,20.0,3.0,16.0,14.0,91.0,23:00,7:00,walk,yellow,0
169,1,No,,Visual,BX2EJ1,Male,No,55.0,16.0,10.0,16.0,13.0,99.0,21:00,5:00,public transport,blue,0
170,0,Yes,,Visual,3JIYVD,Female,No,81.0,3.0,15.0,15.0,7.0,90.0,23:00,6:00,private transport,yellow,0
171,1,No,Clubs,Auditory,BJ3J7Y,Female,No,47.0,22.0,8.0,15.0,5.0,96.0,21:30,5:30,public transport,red,0
172,2,Yes,,Visual,BW7ZBA,Male,Yes,76.0,14.0,0.0,16.0,6.0,91.0,21:00,5:00,public transport,blue,0
173,0,Yes,Sports,Visual,1DVSGE,Male,No,73.0,11.0,7.0,16.0,6.0,94.0,21:30,5:30,public transport,white,0
174,2,No,Clubs,Auditory,I62NPT,Female,No,42.0,22.0,0.0,16.0,5.0,59.0,2:00,7:00,walk,black,0
175,1,No,Sports,Auditory,2BFCOD,Male,No,62.0,27.0,0.0,16.0,13.0,99.0,22:00,6:00,private transport,black,0
176,2,No,Sports,Auditory,VUUZO0,Male,Yes,71.0,10.0,11.0,16.0,15.0,93.0,22:00,6:00,private transport,green,0
177,0,Yes,Sports,Visual,RZV4QM,Female,Yes,79.0,11.0,4.0,15.0,7.0,93.0,21:30,5:30,public transport,red,0
178,1,Yes,Arts,Visual,370TFV,Female,No,79.0,10.0,7.0,15.0,6.0,91.0,21:30,5:30,public transport,red,0
179,2,No,Clubs,Auditory,BBY9XL,Female,Yes,71.0,18.0,1.0,16.0,11.0,97.0,22:30,6:30,private transport,yellow,0
180,1,No,Clubs,Auditory,ZT6B7F,Female,No,62.0,23.0,5.0,16.0,5.0,92.0,23:00,7:00,walk,red,0
181,0,No,Arts,Visual,QVMIRM,Female,Yes,81.0,9.0,15.0,16.0,6.0,95.0,23:00,7:00,walk,green,0
182,1,Yes,Arts,Visual,GMOLNR,Male,Yes,85.0,22.0,0.0,15.0,8.0,100.0,21:30,5:30,public transport,black,0
183,2,Yes,,Visual,X7HPJM,Male,No,81.0,16.0,2.0,15.0,8.0,91.0,23:00,7:00,walk,blue,0
184,0,Yes,,Visual,BB0GWZ,Female,Yes,82.0,13.0,2.0,16.0,8.0,99.0,22:00,6:00,private transport,black,0
185,2,No,Clubs,Visual,Z3E0R7,Female,Yes,72.0,18.0,1.0,6.0,5.0,95.0,21:00,5:00,public transport,red,0
186,2,No,Sports,Auditory,7FLZFC,Male,Yes,60.0,11.0,11.0,16.0,18.0,98.0,22:00,6:00,private transport,red,0
187,1,No,Clubs,Visual,904N7S,Male,No,46.0,18.0,12.0,16.0,5.0,67.0,23:30,5:30,public transport,green,0
188,0,No,Arts,Visual,PF3GL0,Female,Yes,55.0,10.0,12.0,16.0,18.0,97.0,21:00,5:00,public transport,black,0
189,1,No,Arts,Visual,DHU6S5,Female,No,54.0,9.0,21.0,15.0,15.0,91.0,21:30,5:30,public transport,yellow,0
190,1,No,Sports,Visual,NXSGVV,Female,Yes,57.0,0.0,30.0,16.0,10.0,99.0,21:30,5:30,public transport,white,0
191,0,Yes,Clubs,Auditory,X1H8JD,Male,No,76.0,12.0,3.0,15.0,6.0,92.0,23:00,7:00,walk,red,0
192,1,Yes,,Auditory,WA7FY7,Male,Yes,80.0,16.0,6.0,15.0,8.0,94.0,21:00,5:00,public transport,black,0
193,2,No,Clubs,Auditory,SATF1G,Male,Yes,55.0,10.0,8.0,15.0,17.0,93.0,22:00,6:00,private transport,yellow,0
194,2,No,Sports,Auditory,UPVY4I,Male,No,40.0,19.0,4.0,15.0,2.0,89.0,21:30,5:30,public transport,yellow,0
195,2,Yes,Arts,Auditory,QYA5UX,Male,No,45.0,16.0,8.0,16.0,6.0,95.0,21:30,5:30,public transport,yellow,0
196,0,No,Clubs,Visual,LX6SSC,Male,No,79.0,26.0,1.0,15.0,8.0,94.0,22:00,6:00,private transport,red,0
197,1,Yes,Arts,Auditory,69BXSI,Female,No,48.0,23.0,2.0,15.0,6.0,97.0,21:30,5:30,public transport,yellow,0
198,1,Yes,Sports,Visual,S9V8KG,Female,No,55.0,12.0,15.0,15.0,8.0,91.0,21:30,5:30,public transport,yellow,0
199,1,No,Clubs,Visual,25PAWM,Female,No,58.0,13.0,13.0,16.0,10.0,96.0,23:00,7:00,walk,black,0
200,0,No,,Auditory,6ZEMY9,Female,No,62.0,14.0,7.0,15.0,15.0,97.0,23:00,7:00,walk,red,0
201,1,No,Sports,Auditory,1R0VBB,Female,Yes,67.0,12.0,16.0,15.0,8.0,99.0,21:30,5:30,public transport,red,0
202,0,No,,Auditory,KX2M6I,Male,Yes,71.0,11.0,9.0,15.0,9.0,91.0,21:30,5:30,public transport,blue,0
